




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (6142)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
granulocyte migration (GO:0097530)	95	10	28.33	-	.35	6.42E-04	1.81E-02
neutrophil chemotaxis (GO:0030593)	77	7	22.96	-	.30	6.45E-04	1.81E-02
calcium ion homeostasis (GO:0055074)	438	89	130.62	-	.68	6.57E-04	1.84E-02
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	49	25.95	+	1.89	6.62E-04	1.85E-02
cellular calcium ion homeostasis (GO:0006874)	425	86	126.75	-	.68	6.65E-04	1.86E-02
ubiquitin-dependent ERAD pathway (GO:0030433)	76	44	22.67	+	1.94	6.77E-04	1.89E-02
histone lysine methylation (GO:0034968)	71	42	21.17	+	1.98	6.83E-04	1.89E-02
mitotic G1/S transition checkpoint signaling (GO:0044819)	71	42	21.17	+	1.98	6.83E-04	1.90E-02
transport of virus (GO:0046794)	61	38	18.19	+	2.09	6.82E-04	1.90E-02
microtubule organizing center organization (GO:0031023)	100	54	29.82	+	1.81	7.01E-04	1.94E-02
regulation of TOR signaling (GO:0032006)	100	54	29.82	+	1.81	7.01E-04	1.94E-02
regulation of transferase activity (GO:0051338)	1033	377	308.07	+	1.22	7.11E-04	1.96E-02
carbohydrate derivative biosynthetic process (GO:1901137)	604	234	180.13	+	1.30	7.15E-04	1.97E-02
anion transport (GO:0006820)	460	95	137.18	-	.69	7.48E-04	2.06E-02
chloride transport (GO:0006821)	103	12	30.72	-	.39	7.77E-04	2.13E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	435	361.45	+	1.20	7.84E-04	2.15E-02
synaptic signaling (GO:0099536)	464	96	138.38	-	.69	7.87E-04	2.15E-02
myeloid leukocyte migration (GO:0097529)	124	16	36.98	-	.43	7.97E-04	2.18E-02
protein localization to nucleus (GO:0034504)	168	80	50.10	+	1.60	8.03E-04	2.19E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	194	90	57.86	+	1.56	8.16E-04	2.22E-02
endocytosis (GO:0006897)	569	123	169.69	-	.72	8.19E-04	2.22E-02
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	52	84.40	-	.62	8.31E-04	2.25E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	50	27.14	+	1.84	8.35E-04	2.26E-02
regulation of intracellular transport (GO:0032386)	364	151	108.55	+	1.39	8.38E-04	2.26E-02
epithelial cell differentiation (GO:0030855)	686	153	204.58	-	.75	8.37E-04	2.26E-02
regulation of hematopoietic stem cell differentiation (GO:1902036)	74	43	22.07	+	1.95	8.40E-04	2.26E-02
detection of biotic stimulus (GO:0009595)	38	1	11.33	-	.09	8.54E-04	2.30E-02
chloride transmembrane transport (GO:1902476)	65	5	19.38	-	.26	8.72E-04	2.34E-02
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	9	25.65	-	.35	8.90E-04	2.39E-02
ERAD pathway (GO:0036503)	92	50	27.44	+	1.82	8.95E-04	2.39E-02
killing of cells of other organism (GO:0031640)	87	9	25.95	-	.35	8.99E-04	2.40E-02
multivesicular body assembly (GO:0036258)	30	23	8.95	+	2.57	9.11E-04	2.43E-02
production of molecular mediator of immune response (GO:0002440)	141	20	42.05	-	.48	9.38E-04	2.49E-02
protein K48-linked ubiquitination (GO:0070936)	60	37	17.89	+	2.07	9.42E-04	2.50E-02
cell killing (GO:0001906)	126	17	37.58	-	.45	9.50E-04	2.52E-02
G2/M transition of mitotic cell cycle (GO:0000086)	141	69	42.05	+	1.64	9.53E-04	2.52E-02
negative regulation of cellular component organization (GO:0051129)	724	273	215.92	+	1.26	9.56E-04	2.53E-02
response to topologically incorrect protein (GO:0035966)	191	88	56.96	+	1.54	9.60E-04	2.53E-02
inorganic ion transmembrane transport (GO:0098660)	637	141	189.97	-	.74	9.96E-04	2.62E-02
cell cycle G2/M phase transition (GO:0044839)	143	70	42.65	+	1.64	1.01E-03	2.64E-02
spliceosomal complex assembly (GO:0000245)	56	35	16.70	+	2.10	1.01E-03	2.65E-02
centrosome cycle (GO:0007098)	88	48	26.24	+	1.83	1.02E-03	2.67E-02
establishment of protein localization to mitochondrion (GO:0072655)	77	44	22.96	+	1.92	1.03E-03	2.69E-02
potassium ion transmembrane transport (GO:0071805)	158	24	47.12	-	.51	1.04E-03	2.71E-02
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	56	32.21	+	1.74	1.06E-03	2.76E-02
potassium ion transport (GO:0006813)	167	26	49.80	-	.52	1.07E-03	2.78E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	12	30.42	-	.39	1.08E-03	2.80E-02
phosphorylation (GO:0016310)	877	323	261.55	+	1.23	1.08E-03	2.82E-02
cellular divalent inorganic cation homeostasis (GO:0072503)	460	96	137.18	-	.70	1.09E-03	2.82E-02
spliceosomal snRNP assembly (GO:0000387)	39	27	11.63	+	2.32	1.10E-03	2.84E-02
electron transport chain (GO:0022900)	170	80	50.70	+	1.58	1.10E-03	2.85E-02
regulation of cellular localization (GO:0060341)	841	311	250.81	+	1.24	1.11E-03	2.87E-02
transcription-coupled nucleotide-excision repair (GO:0006283)	73	42	21.77	+	1.93	1.14E-03	2.92E-02
nuclear membrane organization (GO:0071763)	73	42	21.77	+	1.93	1.14E-03	2.92E-02
transcription by RNA polymerase III (GO:0006383)	32	24	9.54	+	2.51	1.14E-03	2.93E-02
DNA geometric change (GO:0032392)	110	57	32.81	+	1.74	1.14E-03	2.94E-02
regulation of cellular protein localization (GO:1903827)	561	217	167.31	+	1.30	1.17E-03	2.99E-02
divalent inorganic cation homeostasis (GO:0072507)	481	102	143.45	-	.71	1.20E-03	3.07E-02
cytochrome complex assembly (GO:0017004)	36	26	10.74	+	2.42	1.21E-03	3.07E-02
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	62	5	18.49	-	.27	1.23E-03	3.12E-02
regulation of interleukin-6 production (GO:0032675)	140	20	41.75	-	.48	1.25E-03	3.17E-02
positive regulation of mitotic cell cycle (GO:0045931)	112	57	33.40	+	1.71	1.28E-03	3.26E-02
membrane invagination (GO:0010324)	148	22	44.14	-	.50	1.29E-03	3.26E-02
cellular response to decreased oxygen levels (GO:0036294)	202	91	60.24	+	1.51	1.29E-03	3.27E-02
chemokine-mediated signaling pathway (GO:0070098)	80	8	23.86	-	.34	1.30E-03	3.29E-02
icosanoid transport (GO:0071715)	36	1	10.74	-	.09	1.31E-03	3.31E-02
sensory perception of taste (GO:0050909)	69	6	20.58	-	.29	1.32E-03	3.33E-02
respiratory chain complex IV assembly (GO:0008535)	26	21	7.75	+	2.71	1.34E-03	3.36E-02
positive regulation of chromatin organization (GO:1905269)	121	61	36.09	+	1.69	1.36E-03	3.41E-02
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	19	39.96	-	.48	1.36E-03	3.42E-02
response to reactive oxygen species (GO:0000302)	186	85	55.47	+	1.53	1.37E-03	3.42E-02
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	94	50	28.03	+	1.78	1.37E-03	3.42E-02
sodium ion transmembrane transport (GO:0035725)	119	16	35.49	-	.45	1.38E-03	3.44E-02
response to interferon-gamma (GO:0034341)	183	30	54.58	-	.55	1.38E-03	3.44E-02
double-strand break repair via homologous recombination (GO:0000724)	101	53	30.12	+	1.76	1.40E-03	3.49E-02
negative regulation of protein ubiquitination (GO:0031397)	82	45	24.45	+	1.84	1.41E-03	3.49E-02
gene silencing (GO:0016458)	153	73	45.63	+	1.60	1.41E-03	3.50E-02
regulation of postsynaptic membrane potential (GO:0060078)	99	12	29.52	-	.41	1.43E-03	3.54E-02
monocarboxylic acid transport (GO:0015718)	100	12	29.82	-	.40	1.46E-03	3.60E-02
regulation of protein acetylation (GO:1901983)	77	43	22.96	+	1.87	1.47E-03	3.62E-02
endoplasmic reticulum organization (GO:0007029)	102	53	30.42	+	1.74	1.47E-03	3.63E-02
cellular response to radiation (GO:0071478)	181	83	53.98	+	1.54	1.51E-03	3.72E-02
regulation of protein localization (GO:0032880)	894	327	266.62	+	1.23	1.52E-03	3.72E-02
interstrand cross-link repair (GO:0036297)	56	34	16.70	+	2.04	1.53E-03	3.76E-02
intracellular signal transduction (GO:0035556)	1677	580	500.13	+	1.16	1.55E-03	3.79E-02
positive regulation of cellular protein catabolic process (GO:1903364)	156	74	46.52	+	1.59	1.56E-03	3.80E-02
retrograde transport, endosome to Golgi (GO:0042147)	90	48	26.84	+	1.79	1.56E-03	3.80E-02
regulation of blood pressure (GO:0008217)	188	31	56.07	-	.55	1.57E-03	3.82E-02
recombinational repair (GO:0000725)	103	53	30.72	+	1.73	1.58E-03	3.84E-02
blood circulation (GO:0008015)	390	80	116.31	-	.69	1.59E-03	3.87E-02
visual perception (GO:0007601)	217	38	64.72	-	.59	1.62E-03	3.93E-02
immunoglobulin production (GO:0002377)	138	20	41.16	-	.49	1.62E-03	3.93E-02
multivesicular body organization (GO:0036257)	31	23	9.25	+	2.49	1.66E-03	4.02E-02
regulation of DNA-templated transcription, elongation (GO:0032784)	52	32	15.51	+	2.06	1.69E-03	4.07E-02
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	56	4	16.70	-	.24	1.74E-03	4.19E-02
negative regulation of tumor necrosis factor production (GO:0032720)	60	5	17.89	-	.28	1.76E-03	4.24E-02
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	58	35	17.30	+	2.02	1.78E-03	4.28E-02
regulation of apoptotic signaling pathway (GO:2001233)	354	144	105.57	+	1.36	1.80E-03	4.32E-02
response to hydrogen peroxide (GO:0042542)	121	60	36.09	+	1.66	1.81E-03	4.33E-02
membrane organization (GO:0061024)	972	351	289.88	+	1.21	1.82E-03	4.35E-02
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0016339)	42	2	12.53	-	.16	1.83E-03	4.37E-02
vacuole organization (GO:0007033)	145	69	43.24	+	1.60	1.85E-03	4.41E-02
regulation of telomere maintenance (GO:0032204)	81	44	24.16	+	1.82	1.87E-03	4.44E-02
regulation of translational initiation (GO:0006446)	81	44	24.16	+	1.82	1.87E-03	4.45E-02
cell chemotaxis (GO:0060326)	203	35	60.54	-	.58	1.88E-03	4.47E-02
DNA replication-independent nucleosome organization (GO:0034724)	40	27	11.93	+	2.26	1.90E-03	4.50E-02
maturation of LSU-rRNA (GO:0000470)	28	21	8.35	+	2.51	1.90E-03	4.50E-02
response to oxygen levels (GO:0070482)	388	156	115.71	+	1.35	1.97E-03	4.65E-02
viral budding (GO:0046755)	25	20	7.46	+	2.68	1.98E-03	4.66E-02
response to starvation (GO:0042594)	232	101	69.19	+	1.46	2.00E-03	4.71E-02
cellular response to stimulus (GO:0051716)	6807	1901	2030.04	-	.94	2.02E-03	4.74E-02
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	34	1	10.14	-	.10	2.02E-03	4.75E-02
cytosolic transport (GO:0016482)	148	70	44.14	+	1.59	2.03E-03	4.75E-02
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway (GO:0051482)	34	1	10.14	-	.10	2.02E-03	4.75E-02
amino acid activation (GO:0043038)	50	31	14.91	+	2.08	2.07E-03	4.82E-02
import into nucleus (GO:0051170)	117	58	34.89	+	1.66	2.07E-03	4.83E-02
nucleosome assembly (GO:0006334)	117	58	34.89	+	1.66	2.07E-03	4.84E-02
DNA biosynthetic process (GO:0071897)	117	58	34.89	+	1.66	2.07E-03	4.84E-02
mitochondrial cytochrome c oxidase assembly (GO:0033617)	22	18	6.56	+	2.74	2.09E-03	4.85E-02
regulation of mitotic nuclear division (GO:0007088)	110	55	32.81	+	1.68	2.14E-03	4.96E-02
regulation of ion transmembrane transport (GO:0034765)	502	109	149.71	-	.73	2.14E-03	4.97E-02
mitochondrial respiratory chain complex I assembly (GO:0032981)	66	38	19.68	+	1.93	2.15E-03	4.98E-02
NADH dehydrogenase complex assembly (GO:0010257)	66	38	19.68	+	1.93	2.15E-03	4.98E-02
